"#Table SX. Raw data reporting development time (time to eclosion in h) of the different fly treatments. 
Vial = the vial flies were counted in; 
Time = time to eclosion (h); 
event = 0 (did not eclose) or 1 (eclosed); 
treatment = whether the flies weree fed diets inoculated with L. brevis (Lb), A. tropicalis (At), or untreated (No_add); 
cage = triplicate cages (a,b, or c) per treatment; 
bacteria = the bacteria the F2 test flies were reared with (bf=bacteria-free, At = Atropicalis, Lb=L. brevis); 
exp = separate day the experiment was set up (A,B,or C); 
acetoCFU = # of Acetobacter CFU per fly collected from the F2 test flies; 
lactoCFU = # of Lactobacillus CFU per fly collected from the F2 test flies; 
contam = if flies bore more than 400 Acetobactor or 400 Lactobacillus cfus per fly, they were deemed contaiminated and were not included in the analysis;
density = number of pupae counted in each vial. 
Source data are from /Users/jmc257/Dropbox/Working Trade-offs/EE Experiment/eclosion_table_trial2_JMC3.csv; ~/Dropbox/Working Trade-offs/EE Experiment/CFU Data/Copy of test_contam_D7 (old added) A-Z NEW 1-20-18 CFU\'s sheets 1-12_JMC.xlsx; and Users/jmc257/Dropbox/Working Trade-offs/EE Experiment/EE Code.csv. ",,,,,,,,,,
vial,time,event,treatment,cage,bacteria,exp,acetoCFU,lactoCFU,contam,density
geb4,10.70833333,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.70833333,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.70833333,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.70833333,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.70833333,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.91875,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.91875,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.91875,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,10.91875,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.50555556,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.50555556,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.50555556,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.79652778,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.79652778,1,Lb,Lb-c,Lb,A,143360,92160,C,57
geb4,11.79652778,1,Lb,Lb-c,Lb,A,143360,92160,C,57
qeb3,8.722222222,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,8.920138889,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,8.920138889,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.502777778,1,Lb,Lb-a,Lb,A,0,320,noC,11
qeb3,9.707638889,1,Lb,Lb-a,Lb,A,0,320,noC,11
jex7,11.05208333,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.05208333,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.29236111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.29236111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,11.85555556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.11805556,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.31388889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.31388889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.31388889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,12.83194444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.07638889,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.22916667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.22916667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.22916667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,13.95486111,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.09444444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.09444444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.09444444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.09444444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.09444444,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.22291667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,14.22291667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,15.07291667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,15.07291667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,15.07291667,1,Lb,Lb-b,bf,B,0,0,noC,88
jex7,15.07291667,1,Lb,Lb-b,bf,B,0,0,noC,88
